Work ID,Component ID,Previous ID,Artist Name (EN),Artist Name (JP),Component Title (EN),Component Title (JP),Component Description (EN),Component Description (JP),Contributors (EN),Contributors (JP),Collection,Recording Date,Color,Sound,Run time (HH:MM:SS),Media Type,Media Format,Component Type,Relation,Film Process,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms Governing Use,Housing Annotations,Item Annotations,Condition Notes (EN),Condition Notes (JP),Notes,Date of Entry (YYYY-MM-DD),Cataloger
TN_001,TK_064,Box_16,TANAAMI Keiichi,田名網敬一,YOSHI KEI - ANOTHER RAINBOW CITY,幼視景 - もう一つの虹色都市,,,,,Tanaami Keiichi,,Color,Silent,,Film,16mm,,,Positive /　ポジ,Print /　プリント,,,,,,,,,,,,,650ft,,,,,,,,,,"幼視景ラッシュ、もう一つの虹色都市
[Yoshikei rush, another Rainbow City]",[no info],Vinegar / Loose Wind,,"""Rushes"" Workprint?",,
TN_001,TK_099,Box_7,TANAAMI Keiichi,田名網敬一,YOSHIKEI  - ANOTHER RAINBOW CITY,もう一つの虹色都市,,,,,Tanaami Keiichi,,Color,Sound,,Film,16mm,Exhibition/Museum Print /展覧・所蔵プリント,,Positive /　ポジ,Print /　プリント,,,,,,,,,,,,,350ft,,,,,,,,,,"もう一つの虹色都市、17分17秒、（1977）、色、退色している。が上映できる。[card]:幼視景ーもう一つの虹色都市No.2 (1979 18分16mm)
[trans. Color is faded but able to screen]",[no info],Faded print.,,,,
TN_001,TK_092,Box_7,TANAAMI Keiichi,田名網敬一,YOSHIKEI PREVIEW,幻視景Ⅰ,,,,,Tanaami Keiichi,,BW,Sound,,Film,16mm,Original / オリジナル,,Negative / ネガ,Track Negative /　トラックネガ,,,,,,,,,,,,,400ft,,,,,,,,,,"幻視景Ⅰ　序節　11分
画ネガ、音ネガ、マスク在中
16ｍｍ
53年4月17日
付箋；
2002年8月にＮＥＷプリント
ネガのコンディション非常に良い
[for KT_092,093,094]
[trans. Yoshikei; introduction/preface; 11min; picture negative; sound negative; mask enclosed; 16mm; 1978.4.17; [on note] 2002 August new print. Negative is in very good condition.]","KT_092　音原版　田名網プロ　幻視景　音　頭
[trans. Sound original]",Stored with KT-093 - KT_094. Vinegar smell.,,Original optical track negative.,,
TN_001,TK_093,Box_7,TANAAMI Keiichi,田名網敬一,YOSHIKEI PREVIEW,,,,,,Tanaami Keiichi,,Color,Silent,,Film,16mm,Original / オリジナル,,Negative / ネガ,Original / オリジナル,,,,,,,,,,,,,400ft,,,,,,,,,,"幻視景Ⅰ　序節　11分
画ネガ、音ネガ、マスク在中
16ｍｍ
53年4月17日
付箋；
2002年8月にＮＥＷプリント
ネガのコンディション非常に良い
[for KT_092,093,094]
[trans. Yoshikei; introduction/preface; 11min; picture negative; sound negative; mask enclosed; 16mm; 1978.4.17; [on note] 2002 August new print. Negative is in very good condition.]","KT_093　画　ロール
[trans. Picture roll]",Vinegar/Sticky.,,Original cut negative. A or B Roll.,,
TN_001,TK_094,Box_7,TANAAMI Keiichi,田名網敬一,YOSHIKEI PREVIEW,,,,,,Tanaami Keiichi,,Color,Silent,,Film,16mm,Original / オリジナル,,Negative / ネガ,Original / オリジナル,,,,,,,,,,,,,400ft,,,,,,,,,,"幻視景Ⅰ　序節　11分
画ネガ、音ネガ、マスク在中
16ｍｍ
53年4月17日
付箋；
2002年8月にＮＥＷプリント
ネガのコンディション非常に良い
[for KT_092,093,094]
[trans. Yoshikei; introduction/preface; 11min; picture negative; sound negative; mask enclosed; 16mm; 1978.4.17; [on note] 2002 August new print. Negative is in very good condition.]","KT_094　マスク　ロール　all−５
[絵コンテ、内蓋、写真参照]
[trans. Mask roll, all-5 [See sketch, notes, and photographs]]",Vinegar/Sticky.,,Original cut negative. A or B Roll.,,
TN_001,TK_031,Box_13,TANAAMI Keiichi,田名網敬一,YOSHIKEI TRAILER,幻視景,,,,,Tanaami Keiichi,,BW,Silent,,Film,16mm,,,,,,,,,,,,,,,,,150ft,,,,,,,,,,"田名網プロ
幻視景Ⅱ
3分
画、音、マスク×２　A　B
全１巻第１巻
53年7月7日 
[for KT_031,032,033,034]
[Trans. 3 min. picture, sound, mask x2, A, B, total volume 1, 1978.7.7]","KT_031　幻視景Ⅱ　Bマスク
[trans. B Mask]",Stored with KT_032 - KT_034. Timing tapes included with all rolls.,,"""Mask B"". B/W Positive, HiCon?",,
TN_001,TK_032,Box_13,TANAAMI Keiichi,田名網敬一,YOSHIKEI TRAILER,幻視景,,,,,Tanaami Keiichi,,BW,Silent,,Film,16mm,,,,,,,,,,,,,,,,,150ft,,,,,,,,,,"田名網プロ
幻視景Ⅱ
3分
画、音、マスク×２　A　B
全１巻第１巻
53年7月7日 
[for KT_031,032,033,034]","KT_032　幻視景Ⅱ　Aマスク
[trans. A Mask]",,,"""Mask A"". B/W Positive, HiCon?",,
TN_001,TK_033,Box_13,TANAAMI Keiichi,田名網敬一,YOSHIKEI TRAILER,幻視景,,,,,Tanaami Keiichi,,BW,Sound,,Film,16mm,Original / オリジナル,,Negative / ネガ,Track Negative /　トラックネガ,,,,,,,,,,,,,150ft,,,,,,,,,,"田名網プロ
幻視景Ⅱ
3分
画、音、マスク×２　A　B
全１巻第１巻
53年7月7日 
[for KT_031,032,033,034]","KT_033　幻視景Ⅱ　S 音源
[trans. S Sound source]","Vinegar, starting to hockey puck. Needs stronger/tighter wind, starting to spoke.",,"""Original sound"" Orignial optical track negative.",,
TN_001,TK_034,Box_13,TANAAMI Keiichi,田名網敬一,YOSHIKEI TRAILER,幻視景,,,,,Tanaami Keiichi,,Color,Silent,,Film,16mm,Original / オリジナル,,Negative / ネガ,Original / オリジナル,,,,,,,,,,,,,150ft,,,,,,,,,,"田名網プロ
幻視景Ⅱ
3分
画、音、マスク×２　A　B
全１巻第１巻
53年7月7日 
[for KT_031,032,033,034]","KT_034　幻視景Ⅱ　画　原
trans. [picture, original]",Sticky.,,"Original cut picture negative. Head, at least, is CRI. But may just be titles.",,
TN_001,TK_155,Box_8,TANAAMI Keiichi,田名網敬一,,幼視景　＜もう一つの虹色都市＞,,,,,Tanaami Keiichi,,,Sound Mono / モノ,,Audio,¼ in audio tape (reel to reel),Unknown / 不明,,,,,,19cm/sec,Scotch 3M JMT3100,7 inch,90%,,,,,,,,,,,,,,,,,シリーズ幼視景　＜もう一つの虹色都市＞　DB data 昭和５３年１２月１４日　Engineer 菊池　Recorder NAGRA V-2L Speed 19cm/sec Mono　巻頭に1Ke 7Ke 50Hzパルス同期信号あり　R１リーダー２　ネガ編の方へ　尻、タイトル、1978のあとに逆の２人の女の画が付いてますが、関係ありません。1978タイトルにいっぱいです。TOPは白味の３パンチの２です,[no info],,,Recorder: NAGRA IV-2L,,
