Work ID,Component ID,Previous ID,Artist Name (EN),Artist Name (JP),Component Title (EN),Component Title (JP),Component Description (EN),Component Description (JP),Contributors (EN),Contributors (JP),Collection,Recording Date,Color,Sound,Run time (HH:MM:SS),Media Type,Media Format,Component Type,Relation,Film Process,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms Governing Use,Housing Annotations,Item Annotations,Condition Notes (EN),Condition Notes (JP),Notes,Date of Entry (YYYY-MM-DD),Cataloger
JO_001,JM_001,1,JONOUCHI Motoharu,城之内元晴,Ainu Mosir,アイヌ・モシリ,,,,,Fukuoka City Public Library,1977,Color,,00:50:00,,16mm ,,,,ネガ,,,,,３巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_001,JM_002,2,JONOUCHI Motoharu,城之内元晴,Ainu Mosir,アイヌ・モシリ,,,,,Fukuoka City Public Library,1977,BW,,,,16mm ,,,,ネガ,,,,,１巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_001,JM_003,3,JONOUCHI Motoharu,城之内元晴,Ainu Mosir,アイヌ・モシリ,,,,,Fukuoka City Public Library,1977,,,,,16mm ,,,,ポジ（カットポジ）,,,,,８巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_001,JM_004,4,JONOUCHI Motoharu,城之内元晴,Ainu Mosir ,アイヌ・モシリ,(Ainu's sketch),（アイヌ画）,,,Fukuoka City Public Library,1977,BW & Color,,01:27:00,,16mm ,,,,ポジ,,,,,２巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_001,JM_068,68,JONOUCHI Motoharu,城之内元晴,Ainu Mosir,アイヌ・モシリ,,,,,Fukuoka City Public Library,1977,BW & Color,,,,16mm ,,,,ポジ,,,,,2巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_001,JM_072,73,JONOUCHI Motoharu,城之内元晴,Ainu Mosir,アイヌ・モシリ　ビデオ素材一式,,,,,Fukuoka City Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JO_001,JM_073,74,JONOUCHI Motoharu,城之内元晴,Ainu Mosir,アイヌ・モシリ　音声素材一式,,,,,Fukuoka City Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JO_010,JM_020,27,JONOUCHI Motoharu,城之内元晴,Shinjuku Station ,新宿ステーション　上映・貸出用ポジ,"positive screening, lending",上映・貸出用ポジ,,,Fukuoka City Public Library,1974,BW,,00:16:00,,16mm ,,,,ポジ,,,,,１巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_011,JM_021,28,JONOUCHI Motoharu,城之内元晴,Imperial Hotel,帝国ホテル,(demolition of the Imperial Hotel),（帝国ホテルの崩壊）,,,Fukuoka City Public Library,1969,BW,,00:02:00,,16mm ,,,,ポジ,,,,,１巻,,,,,,,,,,,,,,,,,,,,,,,,
JO_011,JM_022,29,JONOUCHI Motoharu,城之内元晴,The Demolition of the Imperial Hotel,帝国ホテルの崩壊,(demolition of the Imperial Hotel),（帝国ホテルの崩壊）,,,Fukuoka City Public Library,1969,BW,,00:05:00,,16mm ,,,,ネガ,,,,,２巻,,,,,,,,,,,,,,,,,,,,,,,,
