Work ID,Component ID,Previous ID,Artist Name (EN),Artist Name (JP),Component Title (EN),Component Title (JP),Component Description (EN),Component Description (JP),Contributors (EN),Contributors (JP),Collection,Recording Date,Color,Sound,Run time (HH:MM:SS),Media Type,Media Format,Component Type,Relation,Film Process,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms Governing Use,Housing Annotations,Item Annotations,Condition Notes (EN),Condition Notes (JP),Notes,Date of Entry (YYYY-MM-DD),Cataloger
OE_002,OM_007,,OE Masanori,おおえまさのり,No Game,No Game,,,,,Oe Masanori,1967,BW,Sound,00:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE_003,OM_008,,OE Masanori,おおえまさのり,Head Games,Head Games,,,,,Oe Masanori,1967,Color,Sound,00:10:00,,16mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE_004,OM_009,,OE Masanori,おおえまさのり,Between the Frame,Between the Frame,,,,,Oe Masanori,1967,Color,Sound,00:10:00,,16mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE_005,OM_010,,OE Masanori,おおえまさのり,Salome's Child,Salome's Child,,,,,Oe Masanori,1968,Color,Sound,00:06:00,,16mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE_006,OM_011,,OE Masanori,おおえまさのり,Creation,Creation,,,,,Oe Masanori,1966,Color,Sound,00:04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE_007,OM_012,,OE Masanori,おおえまさのり,S No.1,S No.1,,,,,Oe Masanori,1967,BW,Sound,00:05:00,,16mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE_008,OM_013,,OE Masanori,おおえまさのり,Yip-Out,Yip-Out,,,,,Oe Masanori,1967,Color,Sound,00:01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE_009,OM_014,,OE Masanori,おおえまさのり,Four,Four,,,,,Oe Masanori,1966,Color,Sound,00:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE_010,OM_015,,OE Masanori,おおえまさのり,End,End,,,,,Oe Masanori,1968,BW & Color,Sound,00:15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE_011,OM_016,,OE Masanori,おおえまさのり,A Trip in USA,A Trip in USA,,,,,Oe Masanori,,Color,,00:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE_012,OM_017,,OE Masanori,おおえまさのり,In the Maze,In the Maze,,,,,Oe Masanori,,BW,Sound,00:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE_013,OM_018,,OE Masanori,おおえまさのり,Loop Siki No.1,ループ式 No.1,,,,,Oe Masanori,1966,BW,Silent,,,16mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE_014,OM_019,,OE Masanori,おおえまさのり,Loop Siki No.2,ループ式 No.2,,,,,Oe Masanori,1966,BW,Silent,,,16mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE_015,OM_020,,OE Masanori,おおえまさのり,Loop Siki No.3,ループ式 No.3,,,,,Oe Masanori,1966,BW,Silent,,,16mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
