Work ID,Component ID,Previous ID,Artist Name (EN),Artist Name (JP),Component Title (EN),Component Title (JP),Component Description (EN),Component Description (JP),Contributors (EN),Contributors (JP),Collection,Recording Date,Color,Sound,Run time (HH:MM:SS),Media Type,Media Format,Component Type,Relation,Film Process,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms Governing Use,Housing Annotations,Item Annotations,Condition Notes (EN),Condition Notes (JP),Notes,Date of Entry (YYYY-MM-DD),Cataloger
MI_001,MR_001,40100181（収蔵年2014）;Test40100181_1,MIYAI Rikuro,宮井陸郎,Party,パーティ,,作品,,,TOP Museum,1970,BW,Silent,00:42:00,Film,16mm,Exhibition/Museum Print /展覧・所蔵プリント,運送から,Positive / ポジ,,,Unknown / 不明,,,,,,,,,,,,,,,,,,,,著作権は宮井陸郎が保持。,,,,,,,
MI_001,MR_002,40100181（収蔵年2014）;Test40100181_2,MIYAI Rikuro,宮井陸郎,Party,パーティ,,作品デジタル,,,TOP Museum,1970,BW,Silent,00:42:00,Video,Digital File,Unknown / 不明,MR_001から作成,,,,,,,,,,,,Apple ProRes 422 HQ,,,,,,,,,,,,著作権は宮井陸郎が保持。,LTO07,,,,,,
AZ_001,AS_001,40100212（収蔵年2016）;Test40100212_1,AZUCHI GULLIVER Shuzo ,シュウゾウ・アヅチ・ガリバー,Cinematic Illumination,シネマティック・イルミネーション,,作品,,,TOP Museum,1968–69,BW,Silent,variable / 可変,Slide,35mm,Preservation Master / 保存用マスター,運送から,Positive / ポジ,,,Unknown / 不明,,,,,,,,,,,,,,,,,,,,著作権はシュウゾウ・アヅチ・ガリバーが保持。,,,,,展示時には音楽あり。,,
AZ_001,AS_002,40100212（収蔵年2016）;Test40100212_2,AZUCHI GULLIVER Shuzo ,シュウゾウ・アヅチ・ガリバー,Cinematic Illumination,シネマティック・イルミネーション,,作品デジタル,,,TOP Museum,1968–69,BW,Silent,variable / 可変,Video,Digital File,Digital Preservation Master / デジタル保存マスター,_AS_001から作成,,,,,,,,,,,,,,,,,,,,,,,,著作権はシュウゾウ・アヅチ・ガリバーが保持。,,,,,,,
JO_001,JM_001,40100218（収蔵年2016）;Test40100218_1,JONOUCHI Motoharu,城之内元晴,Shinjuku Station,新宿ステーション,,作品,,,TOP Museum,1974,BW,Sound,00:15:00,Film,16mm,Exhibition/Museum Print /展覧・所蔵プリント,運送から,Positive / ポジ,,,Unknown / 不明,,,,,,,,,,,,,,,,,,,,,,,,,,,
JO_001,JM_002,40100218（収蔵年2016）;Test40100218_2,JONOUCHI Motoharu,城之内元晴,Shinjuku Station,新宿ステーション,,作品,,,TOP Museum,1974,BW,Sound,00:15:00,Video,Digital File,Unknown / 不明,JM_001から作成,,,,,,,,,,,,Apple ProRes 422 HQ,,,,,,,,,,,,,,,,,,,
OE_001,OM_001,Test01; Test01_1_1,OE Masanori,おおえまさのり,Loop Siki No.1 / No.2 / No.3,ループ式　No.1 / No.2 / No.3,,作品チャンネル１,,,TOP Museum,1966,BW,Silent,00:02:00,Film,16mm,Exhibition/Museum Print /展覧・所蔵プリント,OM_002から作成,Positive / ポジ,,,Unknown / 不明,,,,,,,,,,,,,,,,,,,,,,,,,"ニュープリント制作、デジタル化
Loop siki に関しては、
4種のポジを交互に16ミリ映写機で上映したようです。
赤1 白1 青1 波形1",,
OE_001,OM_002,Test01l Test01_1_2,OE Masanori,おおえまさのり,Loop Siki No.1 / No.2 / No.3,ループ式　No.1 / No.2 / No.3,,作品チャンネル１インターネガ,,,TOP Museum,1966,BW,Silent,00:02:00,Film,16mm,Preservation Master / 保存用マスター,作家保持のオリジナルから,Internegative / インターネガ,,,Unknown / 不明,,,,,,,,,,,,,,,,,,,,,,,,,"ニュープリント制作、デジタル化
Loop siki に関しては、
4種のポジを交互に16ミリ映写機で上映したようです。
赤1 白1 青1 波形1",,
OE_001,OM_003,Test01; Test01_1_3,OE Masanori,おおえまさのり,Loop Siki No.1 / No.2 / No.3,ループ式　No.1 / No.2 / No.3,,作品チャンネル１デジタル,,,TOP Museum,1966,BW,Silent,00:02:00,Video,Digital File,Unknown / 不明,OM_001から作成,,,,,,,,,,,,Apple ProRes 422 HQ,,,,,,,,,,,,,,,,,"ニュープリント制作、デジタル化
Loop siki に関しては、
4種のポジを交互に16ミリ映写機で上映したようです。
赤1 白1 青1 波形1",,
OE_001,OM_004,Test01; Test01_2_1,OE Masanori,おおえまさのり,Loop Siki No.1 / No.2 / No.3,ループ式　No.1 / No.2 / No.3,,作品チャンネル２,,,TOP Museum,1966,BW,Silent,00:02:00,Film,16mm,Exhibition/Museum Print /展覧・所蔵プリント,OM_005から作成,Positive / ポジ,,,Unknown / 不明,,,,,,,,,,,,,,,,,,,,,,,,,"ニュープリント制作、デジタル化
Loop siki に関しては、
4種のポジを交互に16ミリ映写機で上映したようです。
赤1 白1 青1 波形1",,
