ID,Title (EN),Title (JP),Component ID,Component Name,Previous ID,Artist Name (EN),Artist Name (JP),Description (EN),Description (JP),Contributors (EN),Contributors (JP),Description (JP),Creation Date,Color,Sound,Run time (HH:MM:SS),Collection,Media Type,Media Format,Component Type,Relation,Film Process Type,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms of Governing Use,Color,Sound,FPS,Ft.,Reel/Core,Film Base,Brand,Housing Material,Housing Annotations,Item Annotations,Condition Notes (EN),Condition Notes (JP),Digitization Status (EN),Digitization Status (JP),"Rights Holder Primary (EN)
（Name, Address, Phone, Email)",JP Rights Holder Primary (JP),Rights Holder Notes (EN),Rights Holder Notes (JP),Genre,Cataloger & Date,Cataloger & Date Other,Notes,Date of Entry (MM-DD-YYYY),Cataloger
TI_001,Junk,くず,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1962,,,,,Film,16mm,,,,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,,284,Reel,Acetate・アセテート,,,"Plastic / プラスチック; Side: 飯村隆彦くず1962、BW、サイレント
上：飯村隆彦くず1962,　16ミリ（ブローアップ）、モノクロ、サイレント、16コマ","フィルム：＜Head>　飯村隆彦　くず、サイレント
リール：くず、サイレント、プリント、1962、（’94）",,,,,,,,,,,"AA, RI","Iimura states:  He verified there is no sound, the film. The feet information comes from Iimura's list",,CCJ
TI_002,Junk,くず,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1962,,,,,Film,16mm,,,,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,,Optical,24fps,,Reel,Polyester・ポリエスター,,,"Plastic / プラスチック;  サイド：飯村隆彦、くず、1962、7分、サウンド
表：IIMURA proA-1、くず、(1962）JUNKS、飯村隆彦、８’、8分、サウンド、プリント1998、24fps、Sound","フィルム：JUNKS <HEAD> Taka Iimura　くず
リール：JUNKS,くず、1962年、飯村隆彦
裏：くず、JUNKS,24fps、Sound",,,,,,,,,,,"AA, RI",最初は音をつけたけど、音をつけた方がファイナル版,,CCJ
TI_003,Junk,くず,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1962,,,,,Film,16mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"サイド：KUZU, (Junks）、1962
表：KUZU,（JUNKS),1962, 10Min,　B/W, sound,　By Takahiko Iimura (Blowup from 8mm、R.8mm), Music by Takahisa Kosugi、プリント2007","リール：Taka IIMURA,OPT,SND,",,,,,,,,,,,"AA, RI",プリントは2007年,,CCJ
TI_004,DADA 62,ダダ62,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1962,,,12 min,,Film,8mm,,,Camera Original / カメラ・オリジナル,Reversal Positive / リバーサル・ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,"Plastic / プラスチック; サイド：DADA62
上：TAKAHIKOIIMURA、DADA62,（Original)R.8ミリ、B/W,Silent,１６FPS,10Min,上映","リール：DADA62,IIMURA,Original",,,,,,,,,,,"AA, RI",Regular 8mm; 撮影オリジナル、８Mmで上映することはない、16ミリが配給,,CCJ
TI_005,DADA 62,ダダ62,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1962,,,12 min,,Film,Super8,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,"Metal / メタル缶; サイド：DADA62,表Taka Iimura, DADA62,(S.8mm), 1962,10min,slient, BW, Regular8->Super8mm transfer (2001)",DADA 62,,,,,,,,,,,"AA, RI", 2001 transferred from Regual8mm to Super 8mm.Made it to screen it on Super8.,,CCJ
TI_006,DADA 62,ダダ62,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1962,,,12 min,,Film,Super8,,,Duplicate Print / デュープ　,,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,"Plastic / プラスチック; DADA62 (1962), Silent, 12min, For MoMA Jan. 10, 2013, Milwaukee Performance September 24",,,,,,,,,,,,"AA, RI",2013 print. ,,CCJ
TI_007,DADA 62,ダダ62,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1962,,,12 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,24fps,,,,,,"Plastic / プラスチック; Side: DADA62 (1962)
Top: DADA62, Taka Iimura ""DADA 62""-A Document of Yomiuri Independent,1962, Tokyo-
1962, min/B/W, silent, 24fps, 10 min, ; All rights reserved © 1962, Taka Iimura","Taka Iimura DADA'62, Silent, 24fps",,,,,,,,,,,"AA, RI",16mmcopy,,CCJ
TI_008,DADA 62,ダダ62,,,,TAKAHIKO Iimura,飯村隆彦,Blown-up from R. 8mm,,,,,1962,,,10 min,,Film,16mm,,,Master / マスター,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,24fps,,,,,,"TAKA Iimura, DADA 62; Taka Iimura DADA62, 1962, B/W, Silent, 24fps サイレント","Taka Iimura 飯村隆彦DADA62,サイレント、２４fps",,,,,,,,,,,"AA, RI",16mm original,,CCJ
TI_009,Ai (LOVE),あい,,,,TAKAHIKO Iimura,飯村隆彦,Blown-up from R. 8mm,,Sound by Yoko Ono,,,1962,,,?,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,"Plastic / プラスチック; 飯村隆彦、AI (LOVE), Silent, 16fps, 1962","AI (LOVE), 16fps, Original, #1","Mold, vineger smell",,,,,,,,,,"AA, RI",The 8mm original is missing.,,CCJ
TI_010,Ai (LOVE),あい,,,,TAKAHIKO Iimura,飯村隆彦,Blown-up from R. 8mm,,Sound by Yoko Ono,,,1962,,,10 min,,Film,16mm,,,Master / マスター,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Sound,24fps,,,,,,"Plastic / プラスチック; Side: TAKAHIKO IIMURA, AI (LOVE), 1962
Top: Best print, Iimura Takahiko , Ai (LOVE), 10min 1962, 音楽オノ・ヨーコ、光学録音、１０分、２４fps、Sound","Top: AI (LOVE), Optical Snd, by Takahiko IIMURA, 24fps, Sound",,,,,,,,,,,"AA, RI",This is the Master. There is 10 min and 15min versions. ,,CCJ
