ID,Title (EN),Title (JP),Artist Name (EN),Artist Name (JP),Description (EN),Description (JP),Video URL,Creation Date,Color,Sound,Run time (HH:MM:SS),Format,Projection / Channel
JO_001,The Road to Ainu Mosir,アイヌモシリへの道,JONOUCHI Motoharu,城之内元晴,"In the Ainu language ainu mosir means “the earth/world of people.” This monumental project, which Jonouchi began in 1977, remains unfinished. 
",,,1977,,,,16mm ,
JO_002,WOLS,WOLS,JONOUCHI Motoharu,城之内元晴,"This is the first work in which Jonouchi uses montage to combine a series of stills, a technique which becomes his signature methodology. In this case, he uses images of works by Wols, the pseudonym of German painter and photographer Alfred Otto Wolfgang Schulze (1913–1951), who is considered a pioneer of lyrical abstraction.",,,1964–69,,,,16mm ,
JO_003,Document LSD,ドキュメント　LSD,JONOUCHI Motoharu,城之内元晴,"Capturing the emergence of drug experimentation in the early 1960s, Jonouchi used himself as an object in this public, self-photographed experiment with the hallucinogenic drug.
",,,1962,BW,,00:10:00,16mm ,
JO_004,Nichidai taishu danko (Nihon University Public Collective Bargaining),日大大衆団交　,JONOUCHI Motoharu,城之内元晴,"“Jonouchi directed his camera at Japanese universities as the student movement gained fresh impetus around 1968. This series of works began with Nichidai Hakusan-dori (Nihon University Hakusan Street, 1968), which documented the first demonstration that took place in front of the Nihon University Faculty of Economics, in May, 1968. It continued with Nichidai taishu danko (Nihon University Public Collective Bargaining, 1968), then documenting barricades at the Nihon University College of Art in Nichidai gei kodo (Nihon University College of Art Lecture Hall, 1968), to Gewaltopia Trailer (1969), which connected his own works and the world of horror movies with protests at the University of Tokyo and Nihon University, and Shinjuku Station (1968–74), which superimposed scenes of an uprising in Shinjuku on International Antiwar Day (October 21, 1968). At times there are continuous shots, but these works are primarily composed entirely of series of stills, so it is difficult to grasp what is occurring and where the camera is pointing.""—Go Hirasawa, ""Moment When a Singularity is Born: Essay on Jonouchi Motoharu,” Collaborative Cataloging Japan, April 10, 2019, http://www.collabjapan.org/essay-go-hirasawa-jonouchi-motoharu-english 
",,,1968,BW,,00:21:00,16mm ,
JO_005,Gewaltopia Trailer,ゲバルトピア　予告編　,JONOUCHI Motoharu,城之内元晴,"The films in the Gewaltopia—a combination of the German gewalt (violence) and “utopia”—series are a response to the student protest movements at Nihon University in 1968. Jonouchi superimposed scenes of struggles and uprisings on university campuses and in city streets with images of mushroom clouds and excerpts from horror films. A soundtrack combining human voices and noise-music accompanies the haunting scenes. 
",,,1969,BW,,00:13:00,16mm ,
JO_007,[Portrait of Jogen],ジョーゲンの肖像,JONOUCHI Motoharu,城之内元晴,,,,1969,BW,,00:09:00,16mm ,
JO_008,[Various Materials and Work Compilations],[その他、コンピレーション],JONOUCHI Motoharu,城之内元晴,,,,,,,,16mm ,
JO_009,[Underground of Shinjuku Station],チカニオリルーシンジュク・ステーション ,JONOUCHI Motoharu,城之内元晴,,,,1974,BW,,00:15:00,16mm ,
JO_010,Shinjuku Station ,新宿ステーション　,JONOUCHI Motoharu,城之内元晴,"On October 21, 1968, the demonstrators protested against the Vietnam War on the occasion of International Anti-War Day. In Shinjuku station, the demonstrations resulted in what is known as Shinjuku Riot, when some 2000 people clashed with police, destroyed train cars, and set fire in the station. In this film, Jonouchi superimposed footage of the uprising in Shinjuku, documenting the chaos of the scene. He projected the images onto himself while reciting Dada-style poetry. “In 1974 Jonouchi filmed his own performance/screening, and the currently surviving edition is a re-editing of this newly created film. Kanai Katsu, who was also at Nihon University College of Art, but working as an independent film artist rather than affiliated with the Film Club, recalled the performance/screening of Shinjuku Station, which took place at the same time as the screening of his own work in October 1974: ‘Jonouchi was dressed in what looked like a white safari outfit, and when he stood up, the first thing he did was forcibly screw something into the loop of his epaulet. It was a flashlight. I looked on dumbstruck as he called out to me in his usual loud, clear voice, “OK, here I come,” switched on the projector, and strode purposefully forward. The projected film was black and white footage of riot police and student protesters. It must have been October 21 in Shinjuku. Jonouchi screamed out, “Station! Station!” as he marched toward the screen, and when he reached a spot where the film was projected on his body, he began reciting poetry he had written. The flashlight stuck into his epaulet brilliantly lit up a notebook in his left hand. Meanwhile, his right hand made a repeated upward motion. What was it? The gesture, like beckoning, seemed to be casting some kind of spell.’ (Kanai Katsu, “Jonouchi Motoharu’s Technical Shinjuku Station,” “●,” Yamagata International Documentary Film Festival, p. 45.)”—Go Hirasawa, ""Moment When a Singularity is Born: Essay on Jonouchi Motoharu,"" Collaborative Cataloging Japan, April 10, 2019, http://www.collabjapan.org/essay-go-hirasawa-jonouchi-motoharu-english ",,,1974,BW,,00:16:00,16mm ,
JO_011,Imperial Hotel,帝国ホテル,JONOUCHI Motoharu,城之内元晴,"""In 1967, Jonouchi captured on film the old Imperial Hotel [where Shelter Plan took place] in Imperial Hotel (1967-68), prior to the demolition, due to aging and ground subsidence, of the Frank Lloyd Wright-designed building. Today, Shelter Plan is widely known as a precious moving-image document of Hi Red Center in action, but when screening it each time, Jonouchi repeatedly sought to make the performance/screening an event in its own right, and he also consistently turned his attention to the venue, the Imperial Hotel.

'The Imperial Hotel was the site of an event by Hi Red Center, but I was also captivated by the hotel itself, mysteriously entranced by it in fact. I filmed it several times, including in a state of collapse. When I entered its corridors, I felt just like I was entering the pyramids or something. I thought I was entering the heart of the city itself.' (Jonouchi Motoharu, interviewed by Nakajima Takashi, “The Origins of Student Film and the Nihon University Film Study Club,” Image Forum, October 1986, p. 149.)"" ---Go Hirasawa, ""Moment When a Singularity is Born: Essay on Jonouchi Motoharu,"" Collaborative Cataloging Japan, April 10, 2019, http://www.collabjapan.org/essay-go-hirasawa-jonouchi-motoharu-english  ",,,1967–68,BW,,,16mm ,
JO_013,[Japanese strife related],日本斗争関係,JONOUCHI Motoharu,城之内元晴,,,,,BW,,,16mm ,
JO_014,Nichidai gei kodo (Nihon University College of Art Lecture Hall),日大（芸）講堂にて,JONOUCHI Motoharu,城之内元晴,"“Jonouchi directed his camera at Japanese universities as the student movement gained fresh impetus around 1968. This series of works began with Nichidai Hakusan-dori (Nihon University Hakusan Street, 1968), which documented the first demonstration that took place in front of the Nihon University Faculty of Economics, in May, 1968. It continued with Nichidai taishu danko (Nihon University Public Collective Bargaining, 1968), then documenting barricades at the Nihon University College of Art in Nichidai gei kodo (Nihon University College of Art Lecture Hall, 1968), to Gewaltopia Trailer (1969), which connected his own works and the world of horror movies with protests at the University of Tokyo and Nihon University, and Shinjuku Station (1968–74), which superimposed scenes of an uprising in Shinjuku on International Antiwar Day (October 21, 1968). At times there are continuous shots, but these works are primarily composed entirely of series of stills, so it is difficult to grasp what is occurring and where the camera is pointing.""—Go Hirasawa, ""Moment When a Singularity is Born: Essay on Jonouchi Motoharu,” Collaborative Cataloging Japan, April 10, 2019, http://www.collabjapan.org/essay-go-hirasawa-jonouchi-motoharu-english 
",,,,BW,,00:06:00,16mm ,
JO_015,[Nihon University Hakusandoori],日大白山通り,JONOUCHI Motoharu,城之内元晴,"In Japan, 1968 marked a new momentum of student uprisings known as the Zenkyoto movement (All-Campus Joint Struggle Councils) that pursued individual goals as well as opposing the Vietnam War and the renewal of the Security Treaty with the U.S. The students of Nihon University were among the organizers of the movement. “This series of works began with Nichidai Hakusan-dori (Nihon University Hakusan Street, 1968), which documented the first demonstration that took place in front of the Nihon University Faculty of Economics, in May, 1968. It continued with Nichidai taishu danko (Nihon University Public Collective Bargaining, 1968), then documenting barricades at the Nihon University College of Art in Nichidai gei kodo (Nihon University College of Art Lecture Hall, 1968), to Gewaltopia Trailer (1969), which connected his own works and the world of horror movies with protests at the University of Tokyo and Nihon University, and Shinjuku Station (1968–74), which superimposed scenes of an uprising in Shinjuku on International Antiwar Day (October 21, 1968). At times there are continuous shots, but these works are primarily composed entirely of series of stills, so it is difficult to grasp what is occurring and where the camera is pointing.""—Go Hirasawa, ""Moment When a Singularity is Born: Essay on Jonouchi Motoharu,” Collaborative Cataloging Japan, April 10, 2019, http://www.collabjapan.org/essay-go-hirasawa-jonouchi-motoharu-english 
",,,1968,BW,,00:09:00,16mm ,
JO_020,[The World of Nene],ねねの世界,JONOUCHI Motoharu,城之内元晴,,,,1972,BW & Color,,00:11:00,16mm ,
