ID,Title (EN),Title (JP),Component ID,Component Name,ID,Artist name (EN),Artist name (JP),Description (EN),Description (JP),Contributors (EN),Contributors (JP),Creation Date,Color,Sound,"Run time
(HH:MM:SS)",Collection,Media Type,Media Format,Component Type,Relation,Film Process Type,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms of Governing Use,Housing Annotations,Item Annotations　,Condition Notes,Notes,"Date of Entry
(MM-DD-YYYY))",Cataloger
TA_1, YOSHIKEI - ANOTHER RAINBOW CITY,幼視景,KT_064,,Box_16,TANAAMI Keiichi,田名網敬一,,,,,,Color,Silent / サイレント,,Tanaami ,Film,16mm,,,Positive /　ポジ,Print /　プリント,,,,,,,,,,,,,650ft,,,,,,,,,,"幼視景ラッシュ、もう一つの虹色都市
[Yoshikei rush, another Rainbow City]",[no info],Vinegar / Loose Wind,"""Rushes"" Workprint?",,
TA_2,[FUJIYA CHOCOLATE COMMERCIAL],不二家LOOKチョコレート,KT_049,,Box_13,TANAAMI Keiichi,田名網敬一,,,,,,Color,Sound / サウンド,,Tanaami ,Film,16mm,Exhibition/Museum Print /展覧・所蔵プリント,,Positive /　ポジ,Print /　プリント,,,,,,,,,,,,,50ft,,,,,,,,,,"不二家LOOKチョコレート
CF.FILM
[for KT_049,050,051]",KT_049　不二家ルック　30”　JAC　国際映画宣伝,Stored with KT_050 - KT_051. Faded Magenta print.,Print,,
TA_2,[FUJIYA CHOCOLATE COMMERCIAL],不二家LOOKチョコレート,KT_050,,Box_13,TANAAMI Keiichi,田名網敬一,,,,,,Color,Sound / サウンド,,Tanaami ,Film,16mm,Exhibition/Museum Print /展覧・所蔵プリント,,Positive /　ポジ,Print /　プリント,,,,,,,,,,,,,50ft,,,,,,,,,,"不二家LOOKチョコレート
CF.FILM
[for KT_049,050,051]",KT_050　不二家ルック　30”　JAC　国際映画宣伝,Faded Magenta print.,Print,,
TA_2,[FUJIYA CHOCOLATE COMMERCIAL],不二家LOOKチョコレート,KT_051,,Box_13,TANAAMI Keiichi,田名網敬一,,,,,,Color,Sound / サウンド,,Tanaami ,Film,16mm,Exhibition/Museum Print /展覧・所蔵プリント,,Positive /　ポジ,Print /　プリント,,,,,,,,,,,,,50ft,,,,,,,,,,"不二家LOOKチョコレート
CF.FILM
[for KT_049,050,051]",KT_051　不二家ルック　15”　JAC　国際映画宣伝,Faded Magenta print.,Print,,
TA_2,[FUJIYA CHOCOLATE COMMERCIAL],不二家LOOKチョコレート,KT_240,,Box_18,TANAAMI Keiichi,田名網敬一,,,,,,BW,Sound / サウンド,,Tanaami ,Film,16mm,Exhibition/Museum Print /展覧・所蔵プリント,,Positive /　ポジ,Print /　プリント,,,,,,,,,,,,,25ft,,,,,,,,,,不二家LOOKチョコレート　CF　FILM,,In good shape. Variable Density track.,,,
TA_3,[NHK - JAPANESE FINANCIAL POWER ANIMATION],NHHK日本経済の実力アニメーション,KT_228,,Box_14,TANAAMI Keiichi,田名網敬一,,,,,,Color,,,Tanaami ,Film,16mm,Exhibition/Museum Print /展覧・所蔵プリント,,Positive /　ポジ,Print /　プリント,,,,,,,,,,,,,700ft,,,,,,,,,,,,Severe vinegar syndrome. Curling and warping. Faded print stored in envelope.,Could not unwrap or inspect.,,
TA_4,[NHK ANIMATION FILM],NHK・アニメーション・フィルム,KT_252,,Box_14,TANAAMI Keiichi,田名網敬一,,,,,,Color,Silent / サイレント,,Tanaami ,Film,16mm,Exhibition/Museum Print /展覧・所蔵プリント,,Positive /　ポジ,Print /　プリント,,,,,,,,,,,,,250ft,,,,,,,,,,NHK・アニメーション・フィルム（山内さん）,,Faded print. Stored in envelope.,,,
TA_5,[NHK COLOR TITLE ANIMATION],NHKカラー、タイトル・アニメーション,KT_253,,Box_14,TANAAMI Keiichi,田名網敬一,,,,,,Color,Silent / サイレント,,Tanaami ,Film,16mm,Exhibition/Museum Print /展覧・所蔵プリント,,Positive /　ポジ,Print /　プリント,,,,,,,,,,,,,125ft,,,,,,,,,,NHKカラー、タイトル・アニメーション,,Faded print. Stored in envelope.,,,
TA_6,[NHK OUR WORLD],70年代われらの世界,KT_272,,Box_14,TANAAMI Keiichi,田名網敬一,,,,,,Color,Silent / サイレント,,Tanaami ,Film,16mm,Exhibition/Museum Print /展覧・所蔵プリント,,Positive /　ポジ,Print /　プリント,,,,,,,,,,,,,200ft,,,,,,,,,,70年代われらの世界,NHKスペシャル70年代われらの世界下村博士の物＿論アニメーション,Faded print. Stored in envelope.,This was originally number KT_252 (duplicate number),,
TA_7,[OSAKA EXPO ANIMATION TITLE],NHK万博アニメーションタイトル,KT_251,,Box_14,TANAAMI Keiichi,田名網敬一,,,,,,Color,Sound / サウンド,,Tanaami ,Film,16mm,Exhibition/Museum Print /展覧・所蔵プリント,,Positive /　ポジ,Print /　プリント,,,,,,,,,,,,,125ft,,,,,,,,,,NHK万博アニメーションタイトル,,Faded print. Stored in envelope.,,,
